token_row_index,token_id,segment_id,text,text_stripped,start_sec,end_sec,duration_sec,is_empty,is_punctuation_like,prev_text,next_text,prev_end_sec,next_start_sec,gap_from_prev_sec,gap_to_next_sec,is_repeat_with_prev,near_30s_boundary,has_diar_overlap,best_overlap_sec,best_overlap_ratio,total_overlap_sec,total_overlap_ratio,best_speaker,best_diar_segment_id,speaker_count_overlapping
41,41,,,,29.56,29.98,0.4200000000000017,True,False,,,29.56,29.98,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
42,42,,,,29.98,30.1,0.120000000000001,True,False,,,29.98,30.1,0.0,0.0,False,True,False,0.0,0.0,0.0,0.0,,,0
43,43,,,,30.1,30.64,0.5399999999999991,True,False,,,30.1,30.64,0.0,0.0,False,True,False,0.0,0.0,0.0,0.0,,,0
44,44,,,,30.64,30.78,0.14000000000000057,True,False,,,30.64,30.78,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
45,45,,,,30.78,31.02,0.23999999999999844,True,False,,,30.78,31.02,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
46,46,,,,31.02,31.26,0.240000000000002,True,False,,,31.02,31.26,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
47,47,,,,31.26,31.46,0.1999999999999993,True,False,,,31.26,31.46,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
48,48,,,,31.46,31.62,0.16000000000000014,True,False,,,31.46,31.62,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
49,49,,,,31.62,31.78,0.16000000000000014,True,False,,,31.62,31.78,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
50,50,,,,31.78,31.94,0.16000000000000014,True,False,,,31.78,31.94,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
51,51,,,,31.94,32.16,0.2199999999999953,True,False,,,31.94,32.16,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
52,52,,,,32.16,32.46,0.30000000000000426,True,False,,,32.16,33.5,0.0,1.0399999999999991,False,False,False,0.0,0.0,0.0,0.0,,,0
53,53,,,,33.5,33.98,0.4799999999999969,True,False,,,32.46,33.98,1.0399999999999991,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
54,54,,,,33.98,34.14,0.1600000000000037,True,False,,,33.98,34.14,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
55,55,,,,34.14,34.26,0.11999999999999744,True,False,,,34.14,34.26,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
56,56,,,,34.26,34.48,0.21999999999999886,True,False,,,34.26,34.48,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
57,57,,,,34.48,34.9,0.4200000000000017,True,False,,,34.48,34.9,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
58,58,,,,34.9,35.06,0.1600000000000037,True,False,,,34.9,35.06,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
59,59,,,,35.06,35.5,0.4399999999999977,True,False,,,35.06,35.5,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
60,60,,,,35.5,35.96,0.46000000000000085,True,False,,,35.5,35.96,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
61,61,,,,35.96,36.54,0.5799999999999983,True,False,,,35.96,36.76,0.0,0.21999999999999886,False,False,False,0.0,0.0,0.0,0.0,,,0
62,62,,,,36.76,37.56,0.8000000000000043,True,False,,,36.54,37.56,0.21999999999999886,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
63,63,,,,37.56,37.76,0.19999999999999574,True,False,,,37.56,37.76,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
64,64,,,,37.76,37.88,0.12000000000000455,True,False,,,37.76,37.88,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
65,65,,,,37.88,37.94,0.05999999999999517,True,False,,,37.88,37.94,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
66,66,,,,37.94,38.24,0.30000000000000426,True,False,,,37.94,38.24,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
67,67,,,,38.24,38.46,0.21999999999999886,True,False,,,38.24,38.46,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
68,68,,,,38.46,38.72,0.259999999999998,True,False,,,38.46,38.72,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
69,69,,,,38.72,38.94,0.21999999999999886,True,False,,,38.72,38.94,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
70,70,,,,38.94,39.52,0.5800000000000054,True,False,,,38.94,39.52,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
71,71,,,,39.52,39.62,0.09999999999999432,True,False,,,39.52,39.62,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
72,72,,,,39.62,40.24,0.6200000000000045,True,False,,,39.62,40.24,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
73,73,,,,40.24,40.9,0.6599999999999966,True,False,,,40.24,40.9,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
74,74,,,,40.9,41.1,0.20000000000000284,True,False,,,40.9,41.1,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
75,75,,,,41.1,41.22,0.11999999999999744,True,False,,,41.1,41.22,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
76,76,,,,41.22,41.68,0.46000000000000085,True,False,,,41.22,42.62,0.0,0.9399999999999977,False,False,False,0.0,0.0,0.0,0.0,,,0
77,77,,,,42.62,43.1,0.480000000000004,True,False,,,41.68,43.1,0.9399999999999977,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
78,78,,,,43.1,43.24,0.14000000000000057,True,False,,,43.1,43.24,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
79,79,,,,43.24,43.36,0.11999999999999744,True,False,,,43.24,43.36,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
80,80,,,,43.36,43.56,0.20000000000000284,True,False,,,43.36,43.56,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
81,81,,,,43.56,43.68,0.11999999999999744,True,False,,,43.56,43.68,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
82,82,,,,43.68,44.02,0.3400000000000034,True,False,,,43.68,44.02,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
83,83,,,,44.02,44.44,0.4199999999999946,True,False,,,44.02,44.44,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
84,84,,,,44.44,44.58,0.14000000000000057,True,False,,,44.44,44.58,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
85,85,,,,44.58,45.26,0.6799999999999997,True,False,,,44.58,45.42,0.0,0.1600000000000037,False,False,False,0.0,0.0,0.0,0.0,,,0
86,86,,,,45.42,46.28,0.8599999999999994,True,False,,,45.26,46.28,0.1600000000000037,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
87,87,,,,46.28,46.6,0.3200000000000003,True,False,,,46.28,46.6,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
88,88,,,,46.6,47.06,0.46000000000000085,True,False,,,46.6,47.06,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
89,89,,,,47.06,47.18,0.11999999999999744,True,False,,,47.06,47.18,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
90,90,,,,47.18,47.84,0.6600000000000037,True,False,,,47.18,47.84,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
91,91,,,,47.84,48.0,0.1599999999999966,True,False,,,47.84,48.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
92,92,,,,48.0,48.18,0.17999999999999972,True,False,,,48.0,48.18,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
93,93,,,,48.18,48.38,0.20000000000000284,True,False,,,48.18,48.38,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
94,94,,,,48.38,48.82,0.4399999999999977,True,False,,,48.38,49.92,0.0,1.1000000000000014,False,False,False,0.0,0.0,0.0,0.0,,,0
95,95,,,,49.92,50.4,0.4799999999999969,True,False,,,48.82,50.4,1.1000000000000014,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
96,96,,,,50.4,50.5,0.10000000000000142,True,False,,,50.4,50.5,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
97,97,,,,50.5,50.66,0.1599999999999966,True,False,,,50.5,50.66,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
98,98,,,,50.66,50.94,0.28000000000000114,True,False,,,50.66,50.94,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
99,99,,,,50.94,51.1,0.1600000000000037,True,False,,,50.94,51.1,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
100,100,,,,51.1,51.2,0.10000000000000142,True,False,,,51.1,51.2,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
101,101,,,,51.2,51.36,0.1599999999999966,True,False,,,51.2,51.36,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
102,102,,,,51.36,51.7,0.3400000000000034,True,False,,,51.36,51.7,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
103,103,,,,51.7,52.62,0.9199999999999946,True,False,,,51.7,52.62,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
104,104,,,,52.62,53.5,0.8800000000000026,True,False,,,52.62,53.5,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
105,105,,,,53.5,53.9,0.3999999999999986,True,False,,,53.5,53.9,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
106,106,,,,53.9,54.32,0.4200000000000017,True,False,,,53.9,54.32,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
107,107,,,,54.32,54.68,0.35999999999999943,True,False,,,54.32,54.68,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
108,108,,,,54.68,56.04,1.3599999999999994,True,False,,,54.68,56.04,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
109,109,,,,56.04,56.2,0.1600000000000037,True,False,,,56.04,56.2,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
110,110,,,,56.2,56.6,0.3999999999999986,True,False,,,56.2,56.6,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
111,111,,,,56.6,56.74,0.14000000000000057,True,False,,,56.6,56.74,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
112,112,,,,56.74,56.96,0.21999999999999886,True,False,,,56.74,56.96,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
113,113,,,,56.96,57.08,0.11999999999999744,True,False,,,56.96,57.08,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
114,114,,,,57.08,57.2,0.12000000000000455,True,False,,,57.08,57.2,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
115,115,,,,57.2,57.52,0.3200000000000003,True,False,,,57.2,57.52,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
116,116,,,,57.52,58.42,0.8999999999999986,True,False,,,57.52,58.42,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
117,117,,,,58.42,58.56,0.14000000000000057,True,False,,,58.42,58.56,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
118,118,,,,58.56,58.6,0.03999999999999915,True,False,,,58.56,58.6,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
119,119,,,,58.6,58.72,0.11999999999999744,True,False,,,58.6,58.72,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
120,120,,,,58.72,58.86,0.14000000000000057,True,False,,,58.72,58.86,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
121,121,,,,58.86,59.36,0.5,True,False,,,58.86,59.36,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
122,122,,,,59.36,59.62,0.259999999999998,True,False,,,59.36,59.62,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
123,123,,,,59.62,60.24,0.6200000000000045,True,False,,,59.62,60.24,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
124,124,,,,60.24,60.92,0.6799999999999997,True,False,,,60.24,60.92,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
125,125,,,,60.92,61.04,0.11999999999999744,True,False,,,60.92,61.04,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
126,126,,,,61.04,61.3,0.259999999999998,True,False,,,61.04,61.3,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
127,127,,,,61.3,61.64,0.3400000000000034,True,False,,,61.3,61.64,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
128,128,,,,61.64,61.84,0.20000000000000284,True,False,,,61.64,61.84,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
129,129,,,,61.84,62.28,0.4399999999999977,True,False,,,61.84,62.98,0.0,0.6999999999999957,False,False,False,0.0,0.0,0.0,0.0,,,0
130,130,,,,62.98,63.66,0.6799999999999997,True,False,,,62.28,63.66,0.6999999999999957,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
131,131,,,,63.66,63.92,0.2600000000000051,True,False,,,63.66,63.92,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
132,132,,,,63.92,64.06,0.14000000000000057,True,False,,,63.92,64.06,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
133,133,,,,64.06,64.14,0.0799999999999983,True,False,,,64.06,64.14,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
134,134,,,,64.14,64.54,0.4000000000000057,True,False,,,64.14,64.54,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
135,135,,,,64.54,64.9,0.35999999999999943,True,False,,,64.54,65.1,0.0,0.19999999999998863,False,False,False,0.0,0.0,0.0,0.0,,,0
136,136,,,,65.1,65.78,0.6800000000000068,True,False,,,64.9,65.78,0.19999999999998863,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
137,137,,,,65.78,66.4,0.6200000000000045,True,False,,,65.78,66.82,0.0,0.4199999999999875,False,False,False,0.0,0.0,0.0,0.0,,,0
138,138,,,,66.82,67.5,0.6800000000000068,True,False,,,66.4,67.5,0.4199999999999875,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
139,139,,,,67.5,67.76,0.2600000000000051,True,False,,,67.5,67.76,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
140,140,,,,67.76,68.38,0.6199999999999903,True,False,,,67.76,68.38,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
141,141,,,,68.38,68.94,0.5600000000000023,True,False,,,68.38,68.94,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
142,142,,,,68.94,69.28,0.3400000000000034,True,False,,,68.94,69.28,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
143,143,,,,69.28,70.14,0.8599999999999994,True,False,,,69.28,70.14,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
144,144,,,,70.14,70.26,0.12000000000000455,True,False,,,70.14,70.26,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
145,145,,,,70.26,70.66,0.3999999999999915,True,False,,,70.26,70.66,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
146,146,,,,70.66,71.04,0.38000000000000966,True,False,,,70.66,71.04,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
147,147,,,,71.04,71.58,0.539999999999992,True,False,,,71.04,71.58,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
148,148,,,,71.58,71.72,0.14000000000000057,True,False,,,71.58,71.72,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
149,149,,,,71.72,72.1,0.37999999999999545,True,False,,,71.72,72.1,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
150,150,,,,72.1,72.2,0.10000000000000853,True,False,,,72.1,72.2,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
151,151,,,,72.2,72.6,0.3999999999999915,True,False,,,72.2,72.6,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
152,152,,,,72.6,72.7,0.10000000000000853,True,False,,,72.6,72.7,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
153,153,,,,72.7,72.78,0.0799999999999983,True,False,,,72.7,72.78,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
154,154,,,,72.78,73.24,0.45999999999999375,True,False,,,72.78,73.24,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
155,155,,,,73.24,73.42,0.18000000000000682,True,False,,,73.24,73.42,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
156,156,,,,73.42,74.1,0.6799999999999926,True,False,,,73.42,74.1,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
157,157,,,,74.1,74.8,0.7000000000000028,True,False,,,74.1,74.8,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
158,158,,,,74.8,75.4,0.6000000000000085,True,False,,,74.8,76.02,0.0,0.6199999999999903,False,False,False,0.0,0.0,0.0,0.0,,,0
159,159,,,,76.02,76.7,0.6800000000000068,True,False,,,75.4,76.7,0.6199999999999903,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
160,160,,,,76.7,77.24,0.539999999999992,True,False,,,76.7,77.24,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
161,161,,,,77.24,77.36,0.12000000000000455,True,False,,,77.24,77.36,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
162,162,,,,77.36,78.08,0.7199999999999989,True,False,,,77.36,78.08,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
163,163,,,,78.08,78.54,0.46000000000000796,True,False,,,78.08,78.54,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
164,164,,,,78.54,78.76,0.21999999999999886,True,False,,,78.54,78.76,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
165,165,,,,78.76,79.3,0.539999999999992,True,False,,,78.76,79.64,0.0,0.3400000000000034,False,False,False,0.0,0.0,0.0,0.0,,,0
166,166,,,,79.64,80.32,0.6799999999999926,True,False,,,79.3,80.32,0.3400000000000034,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
167,167,,,,80.32,80.48,0.1600000000000108,True,False,,,80.32,80.48,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
168,168,,,,80.48,80.58,0.09999999999999432,True,False,,,80.48,80.58,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
169,169,,,,80.58,80.64,0.060000000000002274,True,False,,,80.58,80.64,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
170,170,,,,80.64,80.86,0.21999999999999886,True,False,,,80.64,80.86,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
171,171,,,,80.86,81.14,0.28000000000000114,True,False,,,80.86,81.14,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
172,172,,,,81.14,81.26,0.12000000000000455,True,False,,,81.14,81.26,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
173,173,,,,81.26,81.52,0.2599999999999909,True,False,,,81.26,81.7,0.0,0.18000000000000682,False,False,False,0.0,0.0,0.0,0.0,,,0
174,174,,,,81.7,82.4,0.7000000000000028,True,False,,,81.52,82.4,0.18000000000000682,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
175,175,,,,82.4,82.66,0.2599999999999909,True,False,,,82.4,82.66,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
176,176,,,,82.66,83.02,0.35999999999999943,True,False,,,82.66,83.02,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
177,177,,,,83.02,83.4,0.38000000000000966,True,False,,,83.02,83.4,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
178,178,,,,83.4,83.8,0.3999999999999915,True,False,,,83.4,83.8,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
179,179,,,,83.8,84.02,0.21999999999999886,True,False,,,83.8,84.02,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
180,180,,,,84.02,84.26,0.2400000000000091,True,False,,,84.02,84.26,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
181,181,,,,84.26,84.46,0.19999999999998863,True,False,,,84.26,84.46,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
182,182,,,,84.46,85.1,0.6400000000000006,True,False,,,84.46,85.1,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
183,183,,,,85.1,85.98,0.8800000000000097,True,False,,,85.1,85.98,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
184,184,,,,85.98,86.14,0.1599999999999966,True,False,,,85.98,86.14,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
185,185,,,,86.14,86.26,0.12000000000000455,True,False,,,86.14,86.26,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
186,186,,,,86.26,87.0,0.7399999999999949,True,False,,,86.26,87.0,0.0,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0
