token_row_index,token_id,segment_id,text,text_stripped,start_sec,end_sec,duration_sec,is_empty,is_punctuation_like,prev_text,next_text,prev_end_sec,next_start_sec,gap_from_prev_sec,gap_to_next_sec,is_repeat_with_prev,near_30s_boundary,has_diar_overlap,best_overlap_sec,best_overlap_ratio,total_overlap_sec,total_overlap_ratio,best_speaker,best_diar_segment_id,speaker_count_overlapping,gap_from_prev_sec_filled
32720,32720,,,,13235.18,13236.58,1.3999999999996362,True,False,,,13224.0,13236.58,11.180000000000291,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,11.180000000000291
20177,20177,,,,7636.799999999999,7637.36,0.5600000000004002,True,False,,,7625.8,7642.179999999999,10.99999999999909,4.819999999999709,False,False,False,0.0,0.0,0.0,0.0,,,0,10.99999999999909
13567,13567,,,,5245.06,5245.46,0.3999999999996362,True,False,,,5234.32,5245.46,10.740000000000691,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,10.740000000000691
16877,16877,,,,6401.44,6402.0,0.5600000000004002,True,False,,,6391.04,6402.0,10.399999999999636,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,10.399999999999636
11119,11119,,,,4305.44,4306.08,0.6400000000003274,True,False,,,4295.56,4306.08,9.8799999999992,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,9.8799999999992
28984,28984,,,,11886.02,11886.5,0.47999999999956344,True,False,,,11876.72,11891.0,9.300000000001091,4.5,False,False,False,0.0,0.0,0.0,0.0,,,0,9.300000000001091
14201,14201,,,,5491.18,5491.68,0.5,True,False,,,5482.26,5491.68,8.920000000000073,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,8.920000000000073
18514,18514,,,,6984.879999999999,6985.44,0.5600000000004002,True,False,,,6977.3,6985.44,7.579999999999018,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,7.579999999999018
35818,35818,,,,14342.52,14343.0,0.47999999999956344,True,False,,,14335.46,14343.0,7.06000000000131,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,7.06000000000131
11097,11097,,,,4289.58,4290.22,0.6400000000003274,True,False,,,4282.56,4290.22,7.019999999999527,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,7.019999999999527
15928,15928,,,,6068.26,6068.8,0.5399999999999636,True,False,,,6061.4,6075.02,6.860000000000582,6.220000000000255,False,False,False,0.0,0.0,0.0,0.0,,,0,6.860000000000582
15929,15929,,,,6075.02,6075.56,0.5399999999999636,True,False,,,6068.8,6075.56,6.220000000000255,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,6.220000000000255
9241,9241,,,,3645.76,3646.28,0.5199999999999818,True,False,,,3640.06,3646.28,5.700000000000273,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,5.700000000000273
17857,17857,,,,6725.58,6726.24,0.6599999999998545,True,False,,,6720.12,6726.24,5.460000000000036,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,5.460000000000036
27982,27982,,,,11586.94,11587.26,0.31999999999970896,True,False,,,11581.7,11587.26,5.239999999999782,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,5.239999999999782
22306,22306,,,,8480.88,8481.4,0.5200000000004366,True,False,,,8476.04,8481.4,4.8399999999983265,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.8399999999983265
20178,20178,,,,7642.179999999999,7642.74,0.5600000000004002,True,False,,,7637.36,7642.74,4.819999999999709,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.819999999999709
20166,20166,,,,7622.2,7622.78,0.5799999999999272,True,False,,,7617.42,7622.78,4.779999999999745,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.779999999999745
15914,15914,,,,6058.0,6058.54,0.5399999999999636,True,False,,,6053.44,6058.54,4.5600000000004,0.0,False,False,False,0.0,0.0,0.0,0.0,,,0,4.5600000000004
